ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PC5986,,2021-12-18 19:32:00,0,Jahangir Puri Metro Station (DC3600),77.161583,28.7273
DTC,,DL1PC9305,,2021-12-18 19:31:57,0,Rajdoot Hotel (U03061),77.2527,28.5825
DTC,,DL1PC9449,,2021-12-18 19:30:31,21,RK Puram Sec-1 (U01859),77.1785,28.5642
DTC,,DL1PC9166,,2021-12-18 19:26:51,0,B Block Mangol Puri Ring Road (DTC1071),77.096734,28.689561
DTC,TEHKHAND,DL1PC7782,,2021-12-18 19:24:55,27,New Rajinder Nagar Post Office (U01930),77.182967,28.636825
CLUSTER,,DL1PD2739,,2021-12-18 19:22:54,0,Ganesh Nagar (U03379),77.285233,28.621017
DTC,,DL1PC9219,,2021-12-18 19:19:28,23,SJ Airport (U02475),77.2126,28.5841
CLUSTER,,DL1PD0848,,2021-12-18 19:16:29,5,Uttam Nagar Terminal (U00598),77.066447,28.625449
DTC,,DL1PC9025,,2021-12-18 19:14:17,10,Chitra Gupta Road (U02409),77.208497,28.640567
CLUSTER,,DL1PD2839,,2021-12-18 19:12:48,32,J M International School (U00613),77.069217,28.595933
DTC,,DL1PC0716,,2021-12-18 19:09:31,21,Rohini DTC Depot 4 (U01255),77.130533,28.744967
DTC,,DL1PC8565,,2021-12-18 19:08:53,22,PTS (DC5148),77.195504,28.532964
CLUSTER,,DL1PD2415,,2021-12-18 19:08:23,0,Nehru Nagar (U03074),77.253994,28.569338
CLUSTER,,DL1PC5389,,2021-12-18 19:07:49,35,Central School (MCKR) (U02792CS),77.2328,28.562733
DTC,,DL1PC7715,,2021-12-18 19:06:40,35,Indian Oil Station (DC3633),77.108783,28.577583
CLUSTER,,DL1PC5441,,2021-12-18 19:06:17,19,Lal Kuan (U03366),77.284517,28.5026
DTC,,DL1PC0388,,2021-12-18 19:03:22,21,Hassanpur Village (U03621),77.3103,28.6363
DTC,,DL1PC8664,,2021-12-18 19:03:15,0,Mundka Village Metro Station (U00398),77.029944,28.682252
CLUSTER,,DL1PD3296,,2021-12-18 19:00:55,26,Mandi House (U02831),77.233878,28.62558
CLUSTER,,DL1PD1199,,2021-12-18 18:57:47,32,Patel Chowk (Ashoka Road) (U02451),77.210633,28.624548
CLUSTER,,DL1PC6352,,2021-12-18 18:51:18,7,Mayapuri Chowk (Ring Road) (U01257),77.129982,28.638203
DTC,,DL1PC9248,,2021-12-18 18:49:55,25,Hauz Rani (U02525),77.2159,28.5294
