name,city,Review
Hot Spot Pizza,Delhi NCR,Bad
Chacha Chaudhary Junction,Delhi NCR,Bad
Hari Om Bhojanalaya,Delhi NCR,Bad
AAPS 3SQUARE,Mumbai,Good
R.K. Dhaba,Delhi NCR,Good
Crunchy Street,Delhi NCR,Good
Tian - Asian Cuisine Studio - ITC Maurya,Delhi NCR,Good
Khane Khas,Mumbai,Bad
36 China Town,Delhi NCR,Bad
The Albela's Kitchen,Kolkata,Bad
J J Delicacies,Delhi NCR,Bad
The Roll Xpress,Delhi NCR,Good
Bang Bang Cafe,Delhi NCR,Good
Sukoon - The Cafe,Delhi NCR,Good
1Tablespoon Italian Ice Cream,Mumbai,Good
Banter,Delhi NCR,Bad
Duke Bar & Restaurant,Kolkata,Bad
Chai Addaa,Kolkata,Bad
My Tasty Corn,Delhi NCR,Bad
Badami Sweet & Restaurant,Delhi NCR,Good
Lazeez Chicken,Delhi NCR,Good
Bhookkam,Delhi NCR,Good
Neel Ki Biryani,Mumbai,Good
Ganesh Bikanerwala,Delhi NCR,Bad
Hungry Ninja,Delhi NCR,Bad
Bhushan Cake Shop,Delhi NCR,Bad
Bengal Sweet Corner,Delhi NCR,Bad
Good Food Innovations LLP,Delhi NCR,Good
Ammeez Kitchen,Mumbai,Good
Shahi Mahal Restaurant,Kolkata,Good
South Delhi Chicken Corner,Delhi NCR,Good
Sunny Sweets,Delhi NCR,Bad
J V's Fried Chicken,Delhi NCR,Bad
Barbeque Nation,Delhi NCR,Bad
I.H.O.B - Indian House of Biryani,Delhi NCR,Bad
Chinese Cuisine,Delhi NCR,Good
Cafe Istaa,Mumbai,Good
Pepsi Snacks Bar,Kolkata,Good
Leafy Affaire,Kolkata,Good
Masala Mix,Delhi NCR,Bad
Jugnu Chaap,Delhi NCR,Bad
Kitchens By SRR Masala,Mumbai,Bad
Wake Up Cafe,Delhi NCR,Bad
Royal Bakers,Delhi NCR,Good
Bro Cake,Delhi NCR,Good
Noida Chinese Hut,Delhi NCR,Good
Royal Fast Food Hub,Kolkata,Good
New Raj Dairy,Delhi NCR,Bad
Pishoriya Vegetarian Dhaba,Delhi NCR,Bad
Ambarsaria,Delhi NCR,Bad
Malvan Kinara,Mumbai,Bad
Kerala - Kingdom of Dreams,Delhi NCR,Good
New Arsalan Biryani,Kolkata,Good
Sana Egg Roll,Delhi NCR,Good
Brew Sixteen,Delhi NCR,Good
Lobby Bar - Zone By The Park,Kolkata,Bad
Ishu Paan,Delhi NCR,Bad
Chaat Chobara,Delhi NCR,Bad
New Modern Cafe,Mumbai,Bad
Mishti's Kitchen,Delhi NCR,Good
Anjali Resaturant,Delhi NCR,Good
Yummy In Tummy,Delhi NCR,Good
